,reaction_id,CanonicalizedReaction,rxn_smiles,PatentNumber,ParagraphNum,Year,TextMinedYield,CalculatedYield,template,products_run,type,valid
3317,1861,CC(=O)OC(C)=O.CC(C)=CCCC(C)=CCCC(C)C(O)CCC(C)=CCCC(C)=CCO>>CC(=O)OCC=C(C)CCC=C(C)CCC(O)C(C)CCC=C(C)CCC=C(C)C,[C:1]([O:2][C:3](=[O:4])[CH3:5])(=[O:6])[CH3:7].[CH3:8][C:9]([CH2:10][CH2:11][CH:12]=[C:13]([CH3:14])[CH2:15][CH2:16][CH:17]([OH:18])[CH:19]([CH3:20])[CH2:21][CH2:22][CH:23]=[C:24]([CH3:25])[CH2:26][CH2:27][CH:28]=[C:29]([CH3:30])[CH3:31])=[CH:32][CH2:33][OH:34]>N1C=CC=CC=1>[C:1](=[O:6])([CH3:7])[O:34][CH2:33][CH:32]=[C:9]([CH3:8])[CH2:10][CH2:11][CH:12]=[C:13]([CH3:14])[CH2:15][CH2:16][CH:17]([OH:18])[CH:19]([CH3:20])[CH2:21][CH2:22][CH:23]=[C:24]([CH3:25])[CH2:26][CH2:27][CH:28]=[C:29]([CH3:30])[CH3:31],US03939202,,1976,,74.4%,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[C;H0;D3;+0:5](-[CH3;D1;+0:6])=[O;H0;D1;+0:7].[C:8]-[OH;D1;+0:9]>>[C:8]-[O;H0;D2;+0:9]-[C;H0;D3;+0:2](-[C;D1;H3:1])=[O;D1;H0:3],[C:1](=[O:6])([CH3:7])[O:34][CH2:33][CH:32]=[C:9]([CH3:8])[CH2:10][CH2:11][CH:12]=[C:13]([CH3:14])[CH2:15][CH2:16][CH:17]([OH:18])[CH:19]([CH3:20])[CH2:21][CH2:22][CH:23]=[C:24]([CH3:25])[CH2:26][CH2:27][CH:28]=[C:29]([CH3:30])[CH3:31].[C:1](=[O:6])([CH3:7])[O:18][CH:17]([CH2:16][CH2:15][C:13](=[CH:12][CH2:11][CH2:10][C:9]([CH3:8])=[CH:32][CH2:33][OH:34])[CH3:14])[CH:19]([CH3:20])[CH2:21][CH2:22][CH:23]=[C:24]([CH3:25])[CH2:26][CH2:27][CH:28]=[C:29]([CH3:30])[CH3:31],others,True
3318,5798,CC(C)Oc1ccc2c(c1)Nc1cccc(S(=O)(=O)N(C)C)c1S2.ClCCCBr>>CC(C)Oc1ccc2c(c1)N(CCCCl)c1cccc(S(=O)(=O)N(C)C)c1S2,[Br:1][CH2:2][CH2:3][CH2:4][Cl:5].[CH:6]([O:7][c:8]1[cH:9][cH:10][c:11]2[c:12]([cH:13]1)[NH:14][c:15]1[c:16]([c:17]([S:18](=[O:19])(=[O:20])[N:21]([CH3:22])[CH3:23])[cH:24][cH:25][cH:26]1)[S:27]2)([CH3:28])[CH3:29]>>[CH2:2]([CH2:3][CH2:4][Cl:5])[N:14]1[c:12]2[c:11]([cH:10][cH:9][c:8]([O:7][CH:6]([CH3:28])[CH3:29])[cH:13]2)[S:27][c:16]2[c:15]1[cH:26][cH:25][cH:24][c:17]2[S:18](=[O:19])(=[O:20])[N:21]([CH3:22])[CH3:23],US03961055,,1976,,96.6%,"[F,Cl,Br,I;H0;D1;+0:1]-[CH2;D2;+0:2]-[C:3].[c,n:4]-[NH;D2;+0:5]-[c,n:6]>>[C:3]-[CH2;D2;+0:2]-[N;H0;D3;+0:5](-[c,n:4])-[c,n:6]",[CH2:2]([CH2:3][CH2:4][Cl:5])[N:14]1[c:12]2[c:11]([cH:10][cH:9][c:8]([O:7][CH:6]([CH3:28])[CH3:29])[cH:13]2)[S:27][c:16]2[c:15]1[cH:26][cH:25][cH:24][c:17]2[S:18](=[O:19])(=[O:20])[N:21]([CH3:22])[CH3:23].[Br:1][CH2:2][CH2:3][CH2:4][N:14]1[c:12]2[c:11]([cH:10][cH:9][c:8]([O:7][CH:6]([CH3:28])[CH3:29])[cH:13]2)[S:27][c:16]2[c:15]1[cH:26][cH:25][cH:24][c:17]2[S:18](=[O:19])(=[O:20])[N:21]([CH3:22])[CH3:23],others,True
3319,17112,COCCN1CCNCC1.ClCCCBr>>COCCN1CCN(CCCCl)CC1,[Br:1][CH2:2][CH2:3][CH2:4][Cl:5].[CH3:6][O:7][CH2:8][CH2:9][N:10]1[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]1>C(O)C>[CH2:2]([CH2:3][CH2:4][Cl:5])[N:13]1[CH2:12][CH2:11][N:10]([CH2:9][CH2:8][O:7][CH3:6])[CH2:15][CH2:14]1,US04042695,,1977,,,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[CH2;D2;+0:5]-[C:6]>>[C:6]-[CH2;D2;+0:5]-[N;H0;D3;+0:2](-[C:1])-[C:3]",[CH2:2]([CH2:3][CH2:4][Cl:5])[N:13]1[CH2:12][CH2:11][N:10]([CH2:9][CH2:8][O:7][CH3:6])[CH2:15][CH2:14]1.[Br:1][CH2:2][CH2:3][CH2:4][N:13]1[CH2:12][CH2:11][N:10]([CH2:9][CH2:8][O:7][CH3:6])[CH2:15][CH2:14]1,others,True
3320,10923,COc1ccc(CC2(C)CNCCN2)cc1OC.Clc1ccc(C(Cl)c2ccccc2)cc1>>COc1ccc(CC2(C)CN(C(c3ccccc3)c3ccc(Cl)cc3)CCN2)cc1OC,[CH3:1][C:2]1([CH2:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13]2)[NH:14][CH2:15][CH2:16][NH:17][CH2:18]1.[Cl:19][c:20]1[cH:21][cH:22][c:23]([CH:24]([Cl:25])[c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[cH:32][cH:33]1>C(C(C)=O)C>[CH3:1][C:2]1([CH2:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13]2)[NH:14][CH2:15][CH2:16][N:17]([CH:24]([c:23]2[cH:22][cH:21][c:20]([Cl:19])[cH:33][cH:32]2)[c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH2:18]1,US03996360,,1976,80%,,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[CH;D3;+0:5](-[c,n:6])-[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[CH;D3;+0:5](-[c,n:6])-[c,n:7]",[CH3:1][C:2]1([CH2:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13]2)[NH:14][CH2:15][CH2:16][N:17]([CH:24]([c:23]2[cH:22][cH:21][c:20]([Cl:19])[cH:33][cH:32]2)[c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH2:18]1.[CH3:1][C:2]1([CH2:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13]2)[N:14]([CH:24]([c:23]2[cH:22][cH:21][c:20]([Cl:19])[cH:33][cH:32]2)[c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH2:15][CH2:16][NH:17][CH2:18]1,others,True
3321,32307,CS(=O)(=O)Cl.Nc1ccc([N+](=O)[O-])cc1N>>CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1N,[CH3:1][S:2]([Cl:3])(=[O:4])=[O:5].[N+:6]([c:7]1[cH:8][cH:9][c:10]([NH2:11])[c:12]([NH2:13])[cH:14]1)([O-:15])=[O:16]>N1C=CC=CC=1>[CH3:1][S:2](=[O:4])(=[O:5])[NH:11][c:10]1[cH:9][cH:8][c:7]([N+:6]([O-:15])=[O:16])[cH:14][c:12]1[NH2:13],US04195994,,1980,62%,62.3%,"[C;D1;H3:1]-[S;H0;D4;+0:2](-[F,Cl,Br,I;H0;D1;+0:3])(=[O;D1;H0:4])=[O;D1;H0:5].[NH2;D1;+0:6]-[c,n:7]>>[C;D1;H3:1]-[S;H0;D4;+0:2](=[O;D1;H0:4])(=[O;D1;H0:5])-[NH;D2;+0:6]-[c,n:7]",[CH3:1][S:2](=[O:4])(=[O:5])[NH:11][c:10]1[cH:9][cH:8][c:7]([N+:6]([O-:15])=[O:16])[cH:14][c:12]1[NH2:13].[CH3:1][S:2](=[O:4])(=[O:5])[NH:13][c:12]1[c:10]([NH2:11])[cH:9][cH:8][c:7]([N+:6]([O-:15])=[O:16])[cH:14]1,others,True
3322,36035,CC(CCl)CN1CCOCC1.O=c1oc2c(O)cccc2c(O)c1-c1ccccc1>>CC(COc1c(-c2ccccc2)c(=O)oc2c(O)cccc12)CN1CCOCC1,[Cl:1][CH2:2][CH:3]([CH3:4])[CH2:5][N:6]1[CH2:7][CH2:8][O:9][CH2:10][CH2:11]1.[OH:12][c:13]1[c:14]2[c:15]([c:16]([OH:17])[cH:18][cH:19][cH:20]2)[o:21][c:22](=[O:23])[c:24]1-[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1>>[CH2:2]([CH:3]([CH3:4])[CH2:5][N:6]1[CH2:7][CH2:8][O:9][CH2:10][CH2:11]1)[O:12][c:13]1[c:14]2[c:15]([c:16]([OH:17])[cH:18][cH:19][cH:20]2)[o:21][c:22](=[O:23])[c:24]1-[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1,US04230850,,1980,60.7%,,"[C:1]-[CH2;D2;+0:2]-[F,Cl,Br,I;H0;D1;+0:3].[OH;D1;+0:4]-[c,n:5]>>[C:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:4]-[c,n:5]",[CH2:2]([CH:3]([CH3:4])[CH2:5][N:6]1[CH2:7][CH2:8][O:9][CH2:10][CH2:11]1)[O:12][c:13]1[c:14]2[c:15]([c:16]([OH:17])[cH:18][cH:19][cH:20]2)[o:21][c:22](=[O:23])[c:24]1-[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1.[CH2:2]([CH:3]([CH3:4])[CH2:5][N:6]1[CH2:7][CH2:8][O:9][CH2:10][CH2:11]1)[O:17][c:16]1[c:15]2[c:14]([c:13]([OH:12])[c:24](-[c:25]3[cH:26][cH:27][cH:28][cH:29][cH:30]3)[c:22](=[O:23])[o:21]2)[cH:20][cH:19][cH:18]1,others,True
3323,36025,ClCCN1CCOCC1.O=c1oc2c(O)cccc2c(O)c1-c1ccccc1>>O=c1oc2c(O)cccc2c(OCCN2CCOCC2)c1-c1ccccc1,[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][Cl:7])[CH2:8][CH2:9]1.[c:10]1(-[c:11]2[c:12](=[O:13])[o:14][c:15]3[c:16]([c:17]2[OH:18])[cH:19][cH:20][cH:21][c:22]3[OH:23])[cH:24][cH:25][cH:26][cH:27][cH:28]1>>[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][O:18][c:17]2[c:11](-[c:10]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[c:12](=[O:13])[o:14][c:15]3[c:16]2[cH:19][cH:20][cH:21][c:22]3[OH:23])[CH2:8][CH2:9]1,US04230850,,1980,60.2%,,"[C:1]-[CH2;D2;+0:2]-[F,Cl,Br,I;H0;D1;+0:3].[OH;D1;+0:4]-[c,n:5]>>[C:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:4]-[c,n:5]",[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][O:18][c:17]2[c:11](-[c:10]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[c:12](=[O:13])[o:14][c:15]3[c:16]2[cH:19][cH:20][cH:21][c:22]3[OH:23])[CH2:8][CH2:9]1.[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][O:23][c:22]2[c:15]3[o:14][c:12](=[O:13])[c:11](-[c:10]4[cH:24][cH:25][cH:26][cH:27][cH:28]4)[c:17]([OH:18])[c:16]3[cH:19][cH:20][cH:21]2)[CH2:8][CH2:9]1,others,True
3324,36024,ClCCN1CCOCC1.O=c1oc2cc(O)ccc2c(O)c1-c1ccccc1>>O=c1oc2cc(O)ccc2c(OCCN2CCOCC2)c1-c1ccccc1,[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][Cl:7])[CH2:8][CH2:9]1.[c:10]1(-[c:11]2[c:12](=[O:13])[o:14][c:15]3[c:16]([c:17]2[OH:18])[cH:19][cH:20][c:21]([OH:22])[cH:23]3)[cH:24][cH:25][cH:26][cH:27][cH:28]1>>[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][O:18][c:17]2[c:11](-[c:10]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[c:12](=[O:13])[o:14][c:15]3[c:16]2[cH:19][cH:20][c:21]([OH:22])[cH:23]3)[CH2:8][CH2:9]1,US04230850,,1980,77.6%,,"[C:1]-[CH2;D2;+0:2]-[F,Cl,Br,I;H0;D1;+0:3].[OH;D1;+0:4]-[c,n:5]>>[C:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:4]-[c,n:5]",[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][O:18][c:17]2[c:11](-[c:10]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[c:12](=[O:13])[o:14][c:15]3[c:16]2[cH:19][cH:20][c:21]([OH:22])[cH:23]3)[CH2:8][CH2:9]1.[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][O:22][c:21]2[cH:20][cH:19][c:16]3[c:15]([o:14][c:12](=[O:13])[c:11](-[c:10]4[cH:24][cH:25][cH:26][cH:27][cH:28]4)[c:17]3[OH:18])[cH:23]2)[CH2:8][CH2:9]1,others,True
3325,42820,CCCCC(=O)OC(=O)CCCC.C[C@@H]1C[C@H]2[C@@H]3C[C@H](Cl)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO>>CCCCC(=O)OCC(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](Cl)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,[C:1]([O:2][C:3](=[O:4])[CH2:5][CH2:6][CH2:7][CH3:8])(=[O:9])[CH2:10][CH2:11][CH2:12][CH3:13].[Cl:14][C@@H:15]1[C:16]2=[CH:17][C:18](=[O:19])[CH:20]=[CH:21][C@:22]2([CH3:23])[C@:24]2([Cl:25])[C@H:26]([C@H:27]3[C@:28]([CH3:29])([CH2:30][C@@H:31]2[OH:32])[C@@H:33]([C:34](=[O:35])[CH2:36][OH:37])[C@H:38]([CH3:39])[CH2:40]3)[CH2:41]1>N1C=CC=CC=1>[C:3](=[O:9])([CH2:10][CH2:11][CH2:12][CH3:13])[O:37][CH2:36][C:34]([C@@H:33]1[C@:28]2([CH3:29])[C@H:27]([C@H:26]3[C@@:24]([Cl:25])([C@:22]4([CH3:23])[C:16](=[CH:17][C:18](=[O:19])[CH:20]=[CH:21]4)[C@@H:15]([Cl:14])[CH2:41]3)[C@@H:31]([OH:32])[CH2:30]2)[CH2:40][C@H:38]1[CH3:39])=[O:35],US04289763,,1981,,,[C:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[O;H0;D2;+0:5]-[C;H0;D3;+0:6](=[O;H0;D1;+0:7])-[CH2;D2;+0:8]-[CH2;D2;+0:9]-[CH2;D2;+0:10]-[CH3;D1;+0:11].[C:12]-[OH;D1;+0:13]>>[C:12]-[O;H0;D2;+0:13]-[C;H0;D3;+0:6](=[O;H0;D1;+0:4])-[CH2;D2;+0:2]-[C:1],[C:3](=[O:9])([CH2:10][CH2:11][CH2:12][CH3:13])[O:37][CH2:36][C:34]([C@@H:33]1[C@:28]2([CH3:29])[C@H:27]([C@H:26]3[C@@:24]([Cl:25])([C@:22]4([CH3:23])[C:16](=[CH:17][C:18](=[O:19])[CH:20]=[CH:21]4)[C@@H:15]([Cl:14])[CH2:41]3)[C@@H:31]([OH:32])[CH2:30]2)[CH2:40][C@H:38]1[CH3:39])=[O:35].[C:3](=[O:9])([CH2:10][CH2:11][CH2:12][CH3:13])[O:32][C@@H:31]1[C@:24]2([Cl:25])[C@:22]3([CH3:23])[C:16](=[CH:17][C:18](=[O:19])[CH:20]=[CH:21]3)[C@@H:15]([Cl:14])[CH2:41][C@H:26]2[C@H:27]2[C@:28]([CH3:29])([CH2:30]1)[C@@H:33]([C:34](=[O:35])[CH2:36][OH:37])[C@H:38]([CH3:39])[CH2:40]2,others,True
3326,43939,CC(=O)OC(C)=O.COc1ccc(OC)c2c1CC(O)(CO)CC21SCCS1>>COc1ccc(OC)c2c1CC(O)(COC(C)=O)CC21SCCS1,[C:1]([O:2][C:3](=[O:4])[CH3:5])(=[O:6])[CH3:7].[OH:8][C:9]1([CH2:10][OH:11])[CH2:12][c:13]2[c:14]([c:15]([O:16][CH3:17])[cH:18][cH:19][c:20]2[O:21][CH3:22])[C:23]2([S:24][CH2:25][CH2:26][S:27]2)[CH2:28]1>N1C=CC=CC=1>[C:1](=[O:6])([CH3:7])[O:11][CH2:10][C:9]1([OH:8])[CH2:12][c:13]2[c:14]([c:15]([O:16][CH3:17])[cH:18][cH:19][c:20]2[O:21][CH3:22])[C:23]2([S:24][CH2:25][CH2:26][S:27]2)[CH2:28]1,US04302398,,1981,,99.7%,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[C;H0;D3;+0:5](-[CH3;D1;+0:6])=[O;H0;D1;+0:7].[C:8]-[OH;D1;+0:9]>>[C:8]-[O;H0;D2;+0:9]-[C;H0;D3;+0:2](-[C;D1;H3:1])=[O;D1;H0:3],[C:1](=[O:6])([CH3:7])[O:11][CH2:10][C:9]1([OH:8])[CH2:12][c:13]2[c:14]([c:15]([O:16][CH3:17])[cH:18][cH:19][c:20]2[O:21][CH3:22])[C:23]2([S:24][CH2:25][CH2:26][S:27]2)[CH2:28]1.[C:1](=[O:6])([CH3:7])[O:8][C:9]1([CH2:10][OH:11])[CH2:12][c:13]2[c:14]([c:15]([O:16][CH3:17])[cH:18][cH:19][c:20]2[O:21][CH3:22])[C:23]2([S:24][CH2:25][CH2:26][S:27]2)[CH2:28]1,others,True
